Streamflix,Subscription Renewal,"Your Streamflix subscription is renewing!\n\nOur prices are going up again - it’s going to look like a <color=#800000>$25</color> daily fee on your end.\n\nWe really appreciate the support as we continue to deliver mediocre shows that get cancelled as a tax write-off."
Pixney Plus,Subscription Renewal,"Your Pixney Plus subscription is renewing.\n\nYour tribute is due.\nA new <color=#800000>$25</color> recurring payment has been added to your account."
Soundify,Subscription Renewal,"Your Soundify Premium is renewing.\n\nIt's just the cost of 10 coffees!\nWhat that means for you is that your daily fee is increasing to <color=#800000>$25</color>.\n\nMusic is food for the soul, so keep yourself fed!"
Amazin Prime,Subscription Renewal,"Your Amazin Prime membership is renewing!\n\nJust pay <color=#800000>$25</color> daily to maintain access to 2-day shipping on:\n\n1. Trendy, Loose Fit, Heavyweight, Short-Sleeve, Pocket T-Shirt, Multicolour."
Hoolu,Subscription Renewal,"\n\nHoolu is a real streaming service with a passionate and dedicated fanbase.\n\n<color=#800000>$25</color> please."
KBO MAX,Subscription Renewal,"Your KBO MAX subscription is renewing.\n\nWe’ve just been acquired by Streamflix, but will still be charging two separate subscriptions.\nYour due payment is now <color=#800000>$25</color>, a low price to pay for our excellent prestige dramas about the upper class dealing with issues completely alien to you."
Pineapple,Subscription Renewal,"Your Pineapple Music subscription renews today.\n\nInvesting in vibes! Your new vibe?\n Being financially responsible with our new subscription rate of <color=#800000>$25</color>.\n\nYour playlists are immaculate!"
ViewTube,Subscription Renewal,"Your ViewTube Premium payment plan is changing.\n\nTake all the productivity you gained from losing the ads, and reinvest it into us! We’re now charging <color=#800000>$25</color> per day.\n\nBackground play is enabled, to help you keep your eyes on what matters most."
PlaySphere,Subscription Renewal,"Your PlaySphere Plus is renewing.\n\nThey say you can’t put a price on fun, but we have. It’s just <color=#800000>$25</color>, barely enough to turn your head at.\n\nKeep up the great K/D ratio."
Ybox Game,Subscription Renewal,"Your Ybox Game Pass is renewing!\n\nThe greatest deal in gaming just got a little better - we’re moving to a daily payment model instead of monthly. Just <color=#800000>$25</color> for full access to the greatest curated library in the industry, including smash hits like FISA Football 25, FISA Football 24, FISA Football 23, FISA Football 22, and FISA Football 21."
Chatter Nitro,Subscription Renewal,"Your Chatter Nitro is renewing.\n\nInflation hits hard, but your custom server emojis hit harder! That’s why we’ve decided to increase our rate to <color=#800000>$25</color> daily.\nGet hyped for more epic benefits and useful features!"
